Top-Level Category (L1),Second-Level Category (L2),Third-Level Category (L3),Definitions
Explicit,Explicit Nudity,Exposed Male Genitalia,"Human male genitalia, including the penis (whether erect or flaccid), the scrotum, and any discernible pubic hair. This term is applicable in contexts involving sexual activity or any visual content where male genitals are displayed either completely or partially."
Explicit,Explicit Nudity,Exposed Female Genitalia,"External parts of the female reproductive system, encompassing the vulva, vagina, and any observable pubic hair. This term is applicable in scenarios involving sexual activity or any visual content where these aspects of female anatomy are displayed either completely or partially."
Explicit,Explicit Nudity,Exposed Buttocks or Anus,"Human buttocks or anus, including instances where the buttocks are nude or when they are discernible through sheer clothing. The definition specifically applies to situations where the buttocks or anus are directly and completely visible, excluding scenarios where any form of underwear or clothing provides complete or partial coverage."
Explicit,Explicit Nudity,Exposed Female Nipple,"Human female nipples, including fully visible and partially visible aerola (area surrounding the nipples) and nipples."
Explicit,Explicit Sexual Activity,N/A,"Depiction of actual or simulated sexual acts which encompasses human sexual intercourse, oral sex, as well as male genital stimulation and female genital stimulation by other body parts and objects. The term also includes ejaculation or vaginal fluids on body parts and erotic practices or roleplaying involving bondage, discipline, dominance and submission, and sadomasochism."
Explicit,Sex Toys,N/A,"Objects or devices used for sexual stimulation or pleasure, e.g., dildo, vibrator, butt plug, beats, etc."
Non-Explicit Nudity of Intimate parts and Kissing,Non-Explicit Nudity,Bare Back,Human posterior part where the majority of the skin is visible from the neck to the end of the spine. This term does not apply when the individual's back is partially or fully occluded.
Non-Explicit Nudity of Intimate parts and Kissing,Non-Explicit Nudity,Exposed Male Nipple,"Human male nipples, including partially visible nipples."
Non-Explicit Nudity of Intimate parts and Kissing,Non-Explicit Nudity,Partially Exposed Buttocks,"Partially exposed human buttocks. This term includes a partially visible region of the buttocks or butt cheeks due to short clothes, or partially visible top portion of the anal cleft. The term does not apply to cases where the buttocks is fully nude."
Non-Explicit Nudity of Intimate parts and Kissing,Non-Explicit Nudity,Partially Exposed Female Breast,Partially exposed human female breast where one a portion of the female's breast is visible or uncovered while not revealing the entire breast. This term applies when the region of the inner breast fold is visible or when the lower breast crease is visible with nipple fully covered or occluded.
Non-Explicit Nudity of Intimate parts and Kissing,Non-Explicit Nudity,Implied Nudity,"An individual who is nude, either topless or bottomless, but with intimate parts such as buttocks, nipples, or genitalia covered, occluded, or not fully visible."
Non-Explicit Nudity of Intimate parts and Kissing,Obstructed Intimate Parts,Obstructed Female Nipple,"Visual depiction of a situation in which a female's nipples is covered by opaque clothing or coverings, but their shapes are clearly visible."
Non-Explicit Nudity of Intimate parts and Kissing,Obstructed Intimate Parts,Obstructed Male Genitalia,"Visual depiction of a situation in which a male's genitalia or penis is covered by opaque clothing or coverings, but its shape is clearly visible. This term applies when the obstructed genitalia in the image is in close-up."
Non-Explicit Nudity of Intimate parts and Kissing,Kissing on the Lips,N/A,Depiction of one person's lips making contact with another person's lips.
Swimwear or Underwear,Female Swimwear or Underwear,N/A,"Human clothing for female swimwear (e.g., one-piece swimsuits, bikinis, tankinis, etc.) and female underwear (e.g., bras, panties, briefs, lingerie, thongs, etc.)"
Swimwear or Underwear,Male Swimwear or Underwear,N/A,"Human clothing for male swimwear (e.g., swim trunks, boardshorts, swim briefs, etc.) and male underwear (e.g., briefs, boxers, etc.)"
Violence,Weapons,N/A,"Instruments or devices used to cause harm or damage to living beings, structures, or systems. This includes firearms (e.g., guns, rifles, machine gunes, etc.), sharp weapons (e.g., swords, knives, etc.), explosives and ammunition (e.g., missile, bombs, bullets, etc.)."
Violence,Graphic Violence,Weapon Violence,"The use of weapons to cause harm, damage, injury, or death to oneself, other individuals, or properties."
Violence,Graphic Violence,Physical Violence,"The act of causing harm to other individuals or property (e.g., hitting, fighting, pulling hair, etc.) or other act of violence involving crowd or multiple individuals."
Violence,Graphic Violence,Self-Harm,"The act of causing harm to oneself, often by cutting body parts such as arms or legs, where cuts are typically visible."
Violence,Graphic Violence,Blood & Gore,"Visual representation of violence on a person, a group of individuals, or animals, involving open wounds, bloodshed, and mutilated body parts."
Violence,Graphic Violence,Explosions and Blasts,Depiction of a violent and destructive burst of intense flames with thick smoke or dust and smoke erupting from the ground.
Visually Disturbing,Death and Emaciation,Emaciated Bodies,Human bodies that are extremely thin and undernourished with severe physical wasting and depletion of muscle and fat tissue.
Visually Disturbing,Death and Emaciation,Corpses,"Human corpses in the form of mutilated bodies, hanging corpses, or skeletons."
Visually Disturbing,Crashes,Air Crash,"Incidents of air vehicles, such as airplanes, helicopters, or other flying vehicles, resulting in damage, injury, or death. This term applies when parts of the air vehicles are visible."
Drugs & Tobacco,Products,Pills,"Small, solid, often round or oval-shaped tables or capsules. This term applies to pills presented as standalones, in a bottle, or a transparent packet and does not apply to a visual depiction of a person taking pills."
Drugs & Tobacco,Drugs & Tobacco Paraphernalia & Use,Smoking,"The act of inhaling, exhaling, and lighting up burning substances including cigarettes, cigars, e-cigarettes, hookah, or joint."
Alcohol,Alcohol Use,Drinking,The act of drinking alcoholic beverages from bottles or glasses of alcohol or liquor.
Alcohol,Alcoholic Beverages,N/A,"Close up of one or multiple bottles of alcohol or liquor, glasses or mugs with alcohol or liquor, and glasses or mugs with alcohol or liquor held by an individual. This term does not apply to an individual drinking from bottles or glasses of alcohol or liquor."
Rude Gestures,Middle Finger,N/A,Visual depiction of a hand gesture with middle finger is extended upward while the other fingers are folded down.
Gambling,N/A,N/A,"The act of participating in games of chance for a chance to win a prize in casinos, e.g., playing cards, blackjacks, roulette, slot machines at casinos, etc."
Hate Symbols,Nazi Party,N/A,"Visual depiction of symbols, flags, or gestures associated with Nazi Party."
Hate Symbols,White Supremacy,N/A,Visual depiction of symbols or clothings associated with Ku Klux Klan (KKK) and images with confederate flags.
Hate Symbols,Extremist,N/A,Images containing extremist and terrorist group flags.
